date,description,amount,type
2024-01-13,Starbucks,5.00,expense
2024-01-14,Sainsburys,69.51,expense
2024-01-14,Apple iCloud,2.99,expense
2024-01-14,eBay Purchase,71.89,expense
2024-01-14,Netflix,10.99,expense
2024-01-14,Esso Fuel,52.31,expense
2024-01-14,Spotify,10.99,expense
2024-01-14,Trainline,28.51,expense
2024-01-14,Esso Fuel,36.84,expense
2024-01-14,Freelance Payment,259.70,income
2024-01-14,Refund,52.11,income
2024-01-14,Netflix,10.99,expense
2024-01-14,Aldi,42.48,expense
2024-01-15,Dentist,69.99,expense
2024-01-15,Home Insurance,33.73,expense
2024-01-15,Pizza Express,40.40,expense
2024-01-15,Esso Fuel,44.21,expense
2024-01-15,John Lewis,77.77,expense
2024-01-15,eBay Purchase,33.53,expense
2024-01-15,Gas & Electric,156.83,expense
2024-01-16,Disney+,7.99,expense
2024-01-16,Uber Eats,20.67,expense
2024-01-16,EE Mobile,39.07,expense
2024-01-16,National Rail,95.57,expense
2024-01-17,Boots,13.47,expense
2024-01-17,Waitrose,78.44,expense
2024-01-17,Superdrug,15.74,expense
2024-01-17,Uber Eats,37.46,expense
2024-01-17,Salary,2844.30,income
2024-01-17,Disney+,7.99,expense
2024-01-17,Side Hustle,239.01,income
2024-01-17,Optician,136.73,expense
2024-01-17,Costa Coffee,5.83,expense
2024-01-17,YouTube Premium,12.99,expense
2024-01-17,Dentist,49.27,expense
2024-01-17,Spotify,10.99,expense
2024-01-17,Mortgage Payment,814.13,expense
2024-01-17,YouTube Premium,12.99,expense
2024-01-17,Aldi,10.95,expense
2024-01-17,Mortgage Payment,793.22,expense
2024-01-17,Home Insurance,33.07,expense
2024-01-18,KFC,9.04,expense
2024-01-18,Premier Inn,57.67,expense
2024-01-18,Rent Payment,1271.82,expense
2024-01-18,Amazon,167.90,expense
2024-01-18,Home Insurance,28.54,expense
2024-01-18,Uber Eats,21.14,expense
2024-01-18,YouTube Premium,12.99,expense
2024-01-18,Superdrug,7.26,expense
2024-01-18,KFC,14.69,expense
2024-01-18,Nandos,23.72,expense
2024-01-18,Spotify,10.99,expense
2024-01-18,KFC,13.33,expense
2024-01-18,Uber,9.49,expense
2024-01-18,Mortgage Payment,899.52,expense
2024-01-19,BP Fuel,52.85,expense
2024-01-19,Deliveroo,23.93,expense
2024-01-19,Netflix,10.99,expense
2024-01-20,Currys,443.00,expense
2024-01-20,Deliveroo,15.44,expense
2024-01-20,Greggs,5.26,expense
2024-01-20,Uber,9.01,expense
2024-01-20,Dentist,45.87,expense
2024-01-20,O2 Mobile,37.94,expense
2024-01-20,Amazon,100.98,expense
2024-01-20,M&S Food,70.94,expense
2024-01-20,Apple iCloud,2.99,expense
2024-01-20,Argos,118.51,expense
2024-01-20,O2 Mobile,32.61,expense
2024-01-20,Pret A Manger,7.71,expense
2024-01-20,Council Tax,166.71,expense
2024-01-20,Cinema,15.28,expense
2024-01-20,Disney+,7.99,expense
2024-01-21,Sainsburys,124.31,expense
2024-01-21,O2 Mobile,26.54,expense
2024-01-21,Cinema,13.62,expense
2024-01-21,Ryanair,126.35,expense
2024-01-21,Car Insurance,48.91,expense
2024-01-21,Rent Payment,1338.78,expense
2024-01-21,Amazon,78.23,expense
2024-01-21,Starbucks,4.61,expense
2024-01-21,Pret A Manger,9.24,expense
2024-01-21,Starbucks,6.23,expense
2024-01-21,McDonalds,9.31,expense
2024-01-21,Argos,122.33,expense
2024-01-21,Mortgage Payment,970.83,expense
2024-01-21,Sainsburys,148.68,expense
2024-01-22,KFC,10.88,expense
2024-01-22,Bank Interest,8.06,income
2024-01-22,Argos,111.42,expense
2024-01-22,Waitrose,28.42,expense
2024-01-22,McDonalds,8.89,expense
2024-01-22,Costa Coffee,5.72,expense
2024-01-22,National Rail,98.33,expense
2024-01-22,eBay Purchase,16.97,expense
2024-01-22,Home Insurance,26.68,expense
2024-01-22,Apple iCloud,2.99,expense
2024-01-22,BT Broadband,44.00,expense
2024-01-22,Esso Fuel,39.33,expense
2024-01-22,Pub / Bar,19.84,expense
2024-01-22,Starbucks,7.91,expense
2024-01-22,Spotify,10.99,expense
2024-01-23,Pret A Manger,9.01,expense
2024-01-23,Cinema,17.45,expense
2024-01-23,Uber,18.04,expense
2024-01-23,Argos,60.33,expense
2024-01-23,EE Mobile,37.55,expense
2024-01-23,Waitrose,38.82,expense
2024-01-23,EE Mobile,30.15,expense
2024-01-23,Water Bill,44.02,expense
2024-01-23,Trainline,34.67,expense
2024-01-23,Freelance Payment,1418.92,income
2024-01-23,Dividend Payment,56.52,income
2024-01-23,Trainline,23.98,expense
2024-01-23,Superdrug,20.11,expense
2024-01-23,Uber Eats,35.94,expense
2024-01-23,Deliveroo,19.90,expense
2024-01-23,Optician,174.48,expense
2024-01-23,M&S Food,28.20,expense
2024-01-23,John Lewis,115.14,expense
2024-01-23,BP Fuel,47.58,expense
2024-01-24,Nandos,25.37,expense
2024-01-24,Premier Inn,79.60,expense
2024-01-24,Shell Fuel,48.32,expense
2024-01-24,Pharmacy,21.35,expense
2024-01-24,National Rail,61.08,expense
2024-01-24,TfL Travel,3.17,expense
2024-01-24,Tesco,68.09,expense
2024-01-24,Sainsburys,109.08,expense
2024-01-24,Cinema,17.08,expense
2024-01-24,Costa Coffee,5.97,expense
2024-01-25,Council Tax,188.59,expense
2024-01-25,Ryanair,46.36,expense
2024-01-25,Nandos,22.33,expense
2024-01-25,Salary,3846.48,income
2024-01-25,Cinema,14.78,expense
2024-01-25,John Lewis,98.34,expense
2024-01-25,Trainline,31.82,expense
2024-01-25,John Lewis,102.82,expense
2024-01-25,M&S Food,35.10,expense
2024-01-25,TfL Travel,6.20,expense
2024-01-25,eBay Purchase,53.38,expense
2024-01-25,National Rail,74.44,expense
2024-01-26,Amazon,86.12,expense
2024-01-26,Deliveroo,17.07,expense
2024-01-26,Pret A Manger,11.88,expense
2024-01-26,Pharmacy,12.92,expense
2024-01-26,Dividend Payment,154.85,income
2024-01-26,National Rail,77.24,expense
2024-01-26,BP Fuel,50.81,expense
2024-01-26,KFC,9.65,expense
2024-01-26,Pub / Bar,13.29,expense
2024-01-26,Greggs,2.11,expense
2024-01-26,BT Broadband,39.55,expense
2024-01-26,Side Hustle,211.17,income
2024-01-26,Shell Fuel,52.59,expense
2024-01-26,Home Insurance,27.06,expense
2024-01-27,Gas & Electric,142.13,expense
2024-01-27,Gym Membership,31.86,expense
2024-01-27,O2 Mobile,36.47,expense
2024-01-27,Salary,2006.99,income
2024-01-27,Salary,2937.98,income
2024-01-27,EE Mobile,36.24,expense
2024-01-27,Just Eat,29.37,expense
2024-01-27,ASOS,73.28,expense
2024-01-27,John Lewis,239.91,expense
2024-01-27,Uber Eats,39.29,expense
2024-01-28,Ryanair,178.89,expense
2024-01-28,National Rail,34.52,expense
2024-01-28,YouTube Premium,12.99,expense
2024-01-28,Trainline,52.16,expense
2024-01-28,Rent Payment,816.95,expense
2024-01-28,Waitrose,162.66,expense
2024-01-28,Gas & Electric,80.85,expense
2024-01-28,Netflix,10.99,expense
2024-01-28,Amazon,60.24,expense
2024-01-28,Boots,24.52,expense
2024-01-28,Pub / Bar,37.07,expense
2024-01-28,Just Eat,18.26,expense
2024-01-28,EE Mobile,31.43,expense
2024-01-29,McDonalds,13.54,expense
2024-01-29,Cinema,13.11,expense
2024-01-29,Disney+,7.99,expense
2024-01-29,John Lewis,214.73,expense
2024-01-29,BT Broadband,36.11,expense
2024-01-29,EE Mobile,33.11,expense
2024-01-29,Pharmacy,11.00,expense
2024-01-29,Netflix,10.99,expense
2024-01-29,Argos,20.31,expense
2024-01-30,ASOS,26.82,expense
2024-01-30,Rent Payment,1333.69,expense
2024-01-30,Starbucks,4.35,expense
2024-01-30,McDonalds,14.22,expense
2024-01-30,John Lewis,27.98,expense
2024-01-30,National Rail,87.18,expense
2024-01-30,Pharmacy,28.82,expense
2024-01-30,Starbucks,4.24,expense
2024-01-30,Apple iCloud,2.99,expense
2024-01-30,EE Mobile,30.26,expense
2024-01-30,Deliveroo,23.48,expense
2024-01-30,M&S Food,42.42,expense
2024-01-30,Greggs,2.03,expense
2024-01-30,Salary,4128.07,income
2024-01-30,Council Tax,160.45,expense
2024-01-30,Pret A Manger,7.16,expense
2024-01-31,Apple iCloud,2.99,expense
2024-01-31,Apple iCloud,2.99,expense
2024-01-31,Salary,2878.60,income
2024-01-31,Lidl,59.48,expense
2024-01-31,Amazon,38.96,expense
2024-01-31,eBay Purchase,42.15,expense
2024-01-31,Refund,83.89,income
2024-01-31,John Lewis,238.02,expense
2024-01-31,Premier Inn,101.16,expense
2024-01-31,BP Fuel,82.33,expense
2024-01-31,Spotify,10.99,expense
2024-01-31,Salary,2723.98,income
2024-01-31,Uber Eats,39.19,expense
2024-01-31,Car Insurance,44.12,expense
2024-01-31,Netflix,10.99,expense
2024-01-31,Tesco,77.02,expense
2024-01-31,Esso Fuel,32.04,expense
2024-01-31,National Rail,79.32,expense
2024-01-31,National Rail,75.88,expense
2024-02-01,Pizza Express,45.18,expense
2024-02-01,Refund,85.49,income
2024-02-01,Netflix,10.99,expense
2024-02-01,Home Insurance,31.96,expense
2024-02-01,EE Mobile,43.32,expense
2024-02-01,Water Bill,33.49,expense
2024-02-01,Wagamama,16.27,expense
2024-02-01,Water Bill,47.22,expense
2024-02-01,McDonalds,7.80,expense
2024-02-01,Costa Coffee,7.87,expense
2024-02-01,Dentist,32.24,expense
2024-02-01,Amazon,92.54,expense
2024-02-01,Dentist,71.41,expense
2024-02-01,Spotify,10.99,expense
2024-02-01,Netflix,10.99,expense
2024-02-01,Side Hustle,182.44,income
2024-02-01,EE Mobile,43.89,expense
2024-02-02,John Lewis,140.57,expense
2024-02-02,John Lewis,298.25,expense
2024-02-02,Argos,44.82,expense
2024-02-02,Rent Payment,1002.41,expense
2024-02-02,Cashback,5.11,income
2024-02-02,Rent Payment,945.90,expense
2024-02-02,Just Eat,26.77,expense
2024-02-02,KFC,13.69,expense
2024-02-02,Home Insurance,32.20,expense
2024-02-02,BT Broadband,41.99,expense
2024-02-02,Dividend Payment,171.91,income
2024-02-03,Just Eat,16.29,expense
2024-02-03,Argos,130.71,expense
2024-02-03,ASOS,74.87,expense
2024-02-03,Dentist,36.19,expense
2024-02-03,Ryanair,176.26,expense
2024-02-03,BP Fuel,45.03,expense
2024-02-03,Boots,38.87,expense
2024-02-03,Trainline,35.61,expense
2024-02-03,Pharmacy,29.47,expense
2024-02-03,National Rail,51.38,expense
2024-02-03,Netflix,10.99,expense
2024-02-03,Starbucks,8.20,expense
2024-02-03,BT Broadband,39.52,expense
2024-02-03,National Rail,111.63,expense
2024-02-03,Uber Eats,38.33,expense
2024-02-03,Pharmacy,19.99,expense
2024-02-03,O2 Mobile,37.52,expense
2024-02-03,Shell Fuel,60.56,expense
2024-02-03,Pizza Express,40.58,expense
2024-02-04,Car Insurance,42.63,expense
2024-02-04,ASOS,31.97,expense
2024-02-04,BT Broadband,40.16,expense
2024-02-04,Just Eat,23.87,expense
2024-02-04,BP Fuel,64.34,expense
2024-02-04,Tesco,52.75,expense
2024-02-04,Superdrug,11.45,expense
2024-02-04,Costa Coffee,6.15,expense
2024-02-04,Rent Payment,1310.75,expense
2024-02-04,Spotify,10.99,expense
2024-02-04,Spotify,10.99,expense
2024-02-04,Pharmacy,10.10,expense
2024-02-04,Apple iCloud,2.99,expense
2024-02-04,Currys,201.00,expense
2024-02-04,eBay Purchase,56.23,expense
2024-02-05,Argos,30.71,expense
2024-02-05,Starbucks,6.53,expense
2024-02-05,ASOS,51.77,expense
2024-02-05,eBay Purchase,16.76,expense
2024-02-05,Premier Inn,109.00,expense
2024-02-05,Shell Fuel,43.88,expense
2024-02-05,Uber,29.98,expense
2024-02-05,McDonalds,6.60,expense
2024-02-05,ASOS,26.02,expense
2024-02-05,Amazon,143.82,expense
2024-02-05,O2 Mobile,30.15,expense
2024-02-05,Pizza Express,31.42,expense
2024-02-06,Boots,33.56,expense
2024-02-06,Uber,26.66,expense
2024-02-06,Waitrose,172.24,expense
2024-02-06,Argos,112.47,expense
2024-02-06,Esso Fuel,64.84,expense
2024-02-06,YouTube Premium,12.99,expense
2024-02-06,Aldi,20.76,expense
2024-02-06,KFC,10.98,expense
2024-02-06,Pharmacy,24.07,expense
2024-02-06,Netflix,10.99,expense
2024-02-06,Optician,115.45,expense
2024-02-06,Netflix,10.99,expense
2024-02-06,Aldi,26.98,expense
2024-02-06,O2 Mobile,28.07,expense
2024-02-07,Mortgage Payment,1305.37,expense
2024-02-07,Esso Fuel,36.82,expense
2024-02-07,Mortgage Payment,1194.88,expense
2024-02-07,Just Eat,24.61,expense
2024-02-07,Costa Coffee,5.87,expense
2024-02-07,Shell Fuel,62.21,expense
2024-02-07,Costa Coffee,3.55,expense
2024-02-07,Deliveroo,30.27,expense
2024-02-08,Nandos,25.45,expense
2024-02-08,Car Insurance,47.46,expense
2024-02-08,Trainline,31.63,expense
2024-02-08,Water Bill,45.74,expense
2024-02-08,BT Broadband,40.35,expense
2024-02-08,Netflix,10.99,expense
2024-02-08,Pub / Bar,33.55,expense
2024-02-08,Home Insurance,28.27,expense
2024-02-08,Trainline,18.61,expense
2024-02-08,Amazon,12.60,expense
2024-02-09,John Lewis,245.11,expense
2024-02-09,Starbucks,5.92,expense
2024-02-09,Water Bill,32.91,expense
2024-02-09,EE Mobile,34.77,expense
2024-02-09,Pub / Bar,28.54,expense
2024-02-09,Disney+,7.99,expense
2024-02-09,Costa Coffee,7.39,expense
2024-02-09,Rent Payment,1398.03,expense
2024-02-10,Wagamama,27.69,expense
2024-02-10,Home Insurance,28.22,expense
2024-02-10,Wagamama,27.83,expense
2024-02-10,ASOS,21.71,expense
2024-02-10,Disney+,7.99,expense
2024-02-10,Esso Fuel,76.36,expense
2024-02-10,Sainsburys,29.03,expense
2024-02-10,EE Mobile,35.23,expense
2024-02-10,Pharmacy,16.01,expense
2024-02-10,EE Mobile,41.59,expense
2024-02-10,Side Hustle,188.08,income
2024-02-10,Starbucks,5.12,expense
2024-02-10,Freelance Payment,998.88,income
2024-02-10,Rent Payment,1416.41,expense
2024-02-10,National Rail,30.35,expense
2024-02-10,Greggs,5.28,expense
2024-02-10,KFC,8.35,expense
2024-02-10,Water Bill,37.70,expense
2024-02-11,Deliveroo,18.99,expense
2024-02-11,Nandos,31.20,expense
2024-02-11,Gym Membership,32.34,expense
2024-02-11,Aldi,24.62,expense
2024-02-11,Amazon,189.36,expense
2024-02-11,eBay Purchase,89.95,expense
2024-02-11,Deliveroo,34.06,expense
2024-02-11,Esso Fuel,78.90,expense
2024-02-11,McDonalds,10.82,expense
2024-02-11,Rent Payment,1075.80,expense
2024-02-11,Cashback,11.62,income
2024-02-11,Cashback,16.69,income
2024-02-11,Disney+,7.99,expense
2024-02-11,National Rail,104.13,expense
2024-02-11,Council Tax,176.21,expense
2024-02-12,Pharmacy,29.30,expense
2024-02-12,Pub / Bar,32.87,expense
2024-02-12,Boots,9.43,expense
2024-02-12,O2 Mobile,36.88,expense
2024-02-12,KFC,5.61,expense
2024-02-12,Esso Fuel,35.37,expense
2024-02-12,Freelance Payment,204.84,income
2024-02-12,Car Insurance,40.06,expense
2024-02-12,Mortgage Payment,1144.74,expense
2024-02-12,Water Bill,47.69,expense
2024-02-12,Trainline,39.84,expense
2024-02-12,Mortgage Payment,782.24,expense
2024-02-12,Sainsburys,53.43,expense
2024-02-12,Wagamama,23.48,expense
2024-02-12,O2 Mobile,37.68,expense
2024-02-13,Uber Eats,31.38,expense
2024-02-13,O2 Mobile,38.62,expense
2024-02-13,Rent Payment,1132.69,expense
2024-02-13,Shell Fuel,65.94,expense
2024-02-13,Tesco,82.07,expense
2024-02-13,Side Hustle,154.70,income
2024-02-13,Trainline,16.38,expense
2024-02-13,Uber Eats,39.73,expense
2024-02-13,Costa Coffee,4.23,expense
2024-02-13,Waitrose,76.96,expense
2024-02-13,Lidl,20.62,expense
2024-02-13,Optician,80.70,expense
2024-02-13,Tesco,25.83,expense
2024-02-13,Rent Payment,852.76,expense
2024-02-13,Uber,27.85,expense
2024-02-14,Premier Inn,100.37,expense
2024-02-14,National Rail,39.25,expense
2024-02-14,Dividend Payment,11.95,income
2024-02-14,KFC,5.47,expense
2024-02-14,Uber Eats,16.42,expense
2024-02-14,Optician,39.63,expense
2024-02-14,Salary,4024.15,income
2024-02-14,McDonalds,13.15,expense
2024-02-14,ASOS,24.35,expense
2024-02-14,KFC,5.87,expense
2024-02-14,Spotify,10.99,expense
2024-02-14,Freelance Payment,364.98,income
2024-02-14,Mortgage Payment,1202.16,expense
2024-02-14,Waitrose,159.97,expense
2024-02-15,KFC,10.40,expense
2024-02-15,Pizza Express,24.25,expense
2024-02-15,Netflix,10.99,expense
2024-02-15,Apple iCloud,2.99,expense
2024-02-15,Optician,178.37,expense
2024-02-15,Just Eat,26.76,expense
2024-02-15,Gym Membership,39.78,expense
2024-02-15,M&S Food,41.53,expense
2024-02-15,Boots,20.13,expense
2024-02-15,Waitrose,86.96,expense
2024-02-15,Uber Eats,12.17,expense
2024-02-15,BT Broadband,36.53,expense
2024-02-16,Optician,125.93,expense
2024-02-16,KFC,12.41,expense
2024-02-16,Freelance Payment,1062.36,income
2024-02-16,Cashback,13.15,income
2024-02-16,Nandos,31.96,expense
2024-02-16,Freelance Payment,829.00,income
2024-02-16,Netflix,10.99,expense
2024-02-16,Apple iCloud,2.99,expense
2024-02-16,Apple iCloud,2.99,expense
2024-02-16,eBay Purchase,81.56,expense
2024-02-16,Apple iCloud,2.99,expense
2024-02-16,TfL Travel,12.85,expense
2024-02-16,M&S Food,36.07,expense
2024-02-16,Pharmacy,13.82,expense
2024-02-17,Waitrose,160.93,expense
2024-02-17,Deliveroo,27.46,expense
2024-02-17,Optician,140.32,expense
2024-02-17,Gym Membership,35.35,expense
2024-02-17,Netflix,10.99,expense
2024-02-17,National Rail,57.43,expense
2024-02-17,Tesco,81.91,expense
2024-02-17,Nandos,21.75,expense
2024-02-17,Cinema,16.49,expense
2024-02-17,Premier Inn,62.77,expense
2024-02-17,ASOS,17.88,expense
2024-02-17,Pret A Manger,6.52,expense
2024-02-17,Ryanair,108.76,expense
2024-02-17,Tesco,119.10,expense
2024-02-17,Refund,6.21,income
2024-02-18,Uber Eats,22.97,expense
2024-02-18,Boots,25.33,expense
2024-02-18,Deliveroo,28.21,expense
2024-02-18,Amazon,75.42,expense
2024-02-18,Netflix,10.99,expense
2024-02-18,Spotify,10.99,expense
2024-02-18,TfL Travel,3.21,expense
2024-02-18,Cinema,14.73,expense
2024-02-18,Pub / Bar,25.97,expense
2024-02-18,National Rail,109.90,expense
2024-02-18,TfL Travel,12.15,expense
2024-02-18,KFC,13.38,expense
2024-02-18,Disney+,7.99,expense
2024-02-18,Ryanair,79.94,expense
2024-02-19,Lidl,67.94,expense
2024-02-19,Freelance Payment,307.12,income
2024-02-19,Disney+,7.99,expense
2024-02-19,Home Insurance,27.06,expense
2024-02-19,Ryanair,79.14,expense
2024-02-19,Argos,14.32,expense
2024-02-20,Apple iCloud,2.99,expense
2024-02-20,Gas & Electric,85.62,expense
2024-02-20,National Rail,23.85,expense
2024-02-20,Side Hustle,411.63,income
2024-02-20,McDonalds,13.65,expense
2024-02-20,Uber,10.96,expense
2024-02-20,Gas & Electric,114.96,expense
2024-02-20,Ryanair,148.73,expense
2024-02-20,EE Mobile,44.86,expense
2024-02-20,Car Insurance,53.52,expense
2024-02-20,Mortgage Payment,854.44,expense
2024-02-20,McDonalds,6.46,expense
2024-02-20,Trainline,32.10,expense
2024-02-21,ASOS,28.76,expense
2024-02-21,Mortgage Payment,839.38,expense
2024-02-21,Nandos,36.85,expense
2024-02-21,Water Bill,48.07,expense
2024-02-21,Lidl,13.34,expense
2024-02-21,Cinema,17.94,expense
2024-02-21,Starbucks,5.10,expense
2024-02-21,Netflix,10.99,expense
2024-02-21,Esso Fuel,76.51,expense
2024-02-21,Apple iCloud,2.99,expense
2024-02-21,Mortgage Payment,1187.11,expense
2024-02-21,Trainline,50.21,expense
2024-02-21,Greggs,4.73,expense
2024-02-21,Home Insurance,32.26,expense
2024-02-21,M&S Food,58.12,expense
2024-02-21,Superdrug,8.41,expense
2024-02-21,John Lewis,158.00,expense
2024-02-21,Tesco,78.15,expense
2024-02-21,TfL Travel,3.93,expense
2024-02-21,Pizza Express,28.53,expense
2024-02-22,Uber Eats,25.38,expense
2024-02-22,Currys,248.72,expense
2024-02-22,Costa Coffee,6.15,expense
2024-02-22,Trainline,19.75,expense
2024-02-22,Greggs,6.49,expense
2024-02-22,Dividend Payment,142.37,income
2024-02-22,Esso Fuel,38.61,expense
2024-02-22,Gas & Electric,106.81,expense
2024-02-22,Starbucks,4.62,expense
